LoanID,CustomerID,LoanAmount,InterestRate,LoanType,LoanTerm,Tenure,TotalBalance,TotalPayments,SupportIssueFrequency
1,3588,372048,4.38,Car,9.056810404,9.77412731,96781,8675.3,1
2,4979,45999,7.7,Car,3.184120465,8.109514031,70979.5,8675.3,1
3,3762,452069,11.2,Personal,3.274469541,2.283367556,135287,14550.79,1
4,4484,280848,5.81,Car,3.997262149,4.010951403,70979.5,8675.3,1
5,290,8997,7.1,Home,6.929500342,9.388090349,51520,8675.3,1
6,4075,47808,3,Car,7.887748118,3.162217659,7415,8675.3,1
7,454,355826,4.18,Car,3.849418207,8.544832307,79076,7671.39,1
8,1605,316741,8.12,Car,2.718685832,2.825462012,31845,361.92,1
9,2101,21532,11.5,Home,5.399041752,2.061601643,70979.5,8675.3,1
10,974,370865,2.97,Car,6.54072553,5.867214237,20209,20756.42,1
11,430,385172,12.25,Home,4.588637919,6.696783025,70979.5,8675.3,2
12,3176,207754,11.44,Personal,4.588637919,4.303901437,12696,10904.64,1
13,4120,101085,8.28,Personal,5.872689938,7.61670089,55012,8541.98,1
14,4595,473257,9.18,Car,8.271047228,8.396988364,74734,8592.23,1
15,4850,258686,2.5,Education,6.091718001,4.668035592,141068,18104.21,1
16,4515,377249,5.5,Home,7.301848049,0.676249144,70979.5,8675.3,2
17,478,285526,9.27,Car,5.886379192,8.544832307,50839,8675.3,1
18,1201,120758,5.64,Education,4.709103354,3.961670089,69463,7969.28,1
19,867,134879,7.47,Personal,2.083504449,4.213552361,70979.5,8675.3,1
20,3105,449620,3.73,Home,3.726214921,4.470910335,9270,8104.69,2
21,3307,64208,5.36,Home,8.985626283,3.797399042,108737,23453.91,1
22,3793,389483,9.89,Personal,6.108145106,1.423682409,38865,9912.27,1
23,882,494654,6.13,Education,4.306639288,8.599589322,70979.5,8675.3,1
24,3391,342845,4.44,Education,3.789185489,6.072553046,62853,8675.3,1
25,3535,3444,9.01,Education,8.6954141,1.921971253,70979.5,8675.3,2
26,1572,48742,2.6,Home,7.540041068,2.223134839,63558,7934.41,1
27,1089,380180,6.63,Personal,5.292265572,9.297741273,70979.5,8675.3,2
28,3125,81750,8.34,Home,5.823408624,6.379192334,70979.5,8675.3,1
29,4643,193718,8.55,Personal,7.227926078,10.01779603,46302,26202.04,2
30,2152,115181,6.75,Car,5.174537988,1.374401095,70979.5,8675.3,3
31,1990,288641,4.58,Personal,6.357289528,0.761122519,84656,8675.3,1
32,3326,22372,5.87,Education,6.899383984,6.349075975,146360,12342.68,2
33,256,152491,3,Personal,7.364818617,1.59890486,70979.5,8675.3,2
34,1962,375843,11.5,Home,7.145790554,6.269678303,102504,4915.1,1
35,2288,112429,2.84,Car,5.015742642,3.173169062,85668,1541.2,1
36,4127,379485,5.98,Car,6.554414784,3.260780287,76551,8675.3,1
37,1875,111947,6.19,Personal,2.64476386,4.449007529,125153,19686.14,1
38,519,15600,4.97,Car,3.241615332,6.061601643,127896,18299.67,1
39,3343,85472,9.32,Home,3.775496235,2.075290897,70979.5,8675.3,1
40,2096,489267,9.41,Education,5.338809035,8.210814511,35053,16259.01,1
41,4035,93612,3.18,Home,4.65982204,1.765913758,70979.5,8675.3,1
42,1168,361370,11.84,Personal,5.779603012,5.935660507,56961,15036.49,1
43,3617,85641,4.39,Car,5.648186174,0.566735113,70979.5,8675.3,1
44,422,350568,4.55,Personal,5.407255305,8.449007529,68895,4693.48,1
45,4160,365406,5.47,Home,3.066392882,1.409993155,70979.5,8675.3,1
46,4225,233676,12.03,Education,2.830937714,9.596167009,106082,20130.87,1
47,338,97582,8.08,Personal,3.06091718,2.836413415,92719,5168.07,1
48,3669,148844,5.43,Car,8.202600958,3.61670089,117425,12624.97,1
49,458,307462,6.04,Education,6.740588638,6.95687885,82796,5876.67,1
50,2940,157996,7.62,Car,6.417522245,1.289527721,70979.5,8675.3,1
51,3935,29710,5.22,Home,5.941136208,0.476386037,64715,8675.3,1
52,4912,464078,6.89,Personal,2.187542779,0.284736482,15606,8357.61,1
53,369,94361,11.49,Car,7.759069131,7.843942505,96854,10333.81,1
54,1020,28400,11.02,Education,2.453114305,3.655030801,56480,9258.01,2
55,1382,66597,3.55,Home,2.203969884,6.863791923,70979.5,8675.3,1
56,1922,300646,8.36,Personal,5.013004791,4.848733744,69028,18666.58,3
57,4623,264594,11.6,Car,6.173853525,9.505817933,65148,8675.3,1
58,2689,341974,9.65,Personal,6.116358658,2.655715264,98168,10238.85,1
59,3912,94663,3.58,Car,5.415468857,4.678986995,96182,1808.6,1
60,2618,399296,4.28,Car,8.188911704,4.65982204,70979.5,8675.3,1
61,4260,369292,5.4,Home,1.615331964,4.167008898,70979.5,8675.3,1
62,2143,403655,5.63,Car,3.96440794,0.919917864,68749,6187.31,1
63,3415,323842,9.77,Home,6.527036277,5.604380561,74648,14682.43,2
64,365,88682,10.75,Education,4.971937029,5.35797399,70979.5,8675.3,1
65,2432,256303,6.41,Education,4.07118412,5.045859001,70979.5,8675.3,2
66,3954,244298,11.62,Personal,4.314852841,0.952772074,42312,4967.6,2
67,1688,245207,9.15,Home,5.713894593,2.776180698,90200,7236.32,1
68,424,331618,7.31,Home,4.73100616,3.260780287,70979.5,8675.3,1
69,2672,121287,5.39,Education,8.131416838,4.073921971,65614,2382.84,3
70,3245,263405,5.39,Education,5.336071184,7.794661191,70979.5,8675.3,1
71,2842,300903,11.47,Home,8.087611225,9.522245038,63795,8675.3,3
72,4193,203628,3.74,Home,3.392197125,0.380561259,77520,8675.3,1
73,3158,479635,10.14,Car,5.004791239,1.686516085,120222,15370.21,1
74,1640,309979,9.64,Personal,7.816563997,4.8678987,70979.5,8675.3,1
75,3429,324790,9.4,Home,6.907597536,0.358658453,96367,4514.39,1
76,3655,68473,7.59,Personal,7.737166324,2.130047912,31410,8675.3,1
77,4218,486737,10.78,Personal,5.522245038,8.76386037,91988,1798.67,1
78,1710,313375,2.71,Personal,2.124572211,8.060232717,70979.5,8675.3,1
79,4446,264117,6.7,Home,7.570157426,3.542778919,72434,1953.67,1
80,3444,88224,8.37,Education,9.713894593,4.971937029,81017,16419.22,1
81,4363,249929,9.14,Home,5.724845996,2.978781656,70979.5,8675.3,1
82,2379,449282,12.09,Home,5.122518823,2.247775496,93955,10591.99,1
83,757,262106,9.86,Personal,6.302532512,7.575633128,70979.5,8675.3,1
84,1735,103532,9.01,Home,7.219712526,6.787132101,43960,8398.44,2
85,2781,289011,7.31,Home,5.560574949,6.694045175,70979.5,8675.3,1
86,3252,338421,8.43,Personal,6.672142368,4.829568789,86673,7290.85,1
87,4013,398991,4.87,Education,3.154004107,1.440109514,13930,8675.3,1
88,800,2035,3.36,Education,4.895277207,9.730321697,92033,3348.52,1
89,2052,145953,11.91,Education,7.813826146,3.578370979,70979.5,8675.3,1
90,3581,393916,11.27,Home,4.878850103,2.499657769,70979.5,8675.3,1
91,3017,39314,9.96,Education,3.909650924,5.210130048,35054,5253.53,1
92,1322,336334,12.26,Personal,5.94661191,9.776865161,70979.5,8675.3,1
93,2776,92005,8.69,Car,5.065023956,5.960301164,46552,8675.3,1
94,4485,473323,7.03,Education,2.020533881,7.170431211,70979.5,8675.3,1
95,727,226341,11.54,Education,8.657084189,3.211498973,54325,9903.23,1
96,2206,370685,10.84,Personal,6.124572211,9.53045859,51347,8750.84,1
97,129,391011,10.55,Home,2.622861054,4.399726215,70979.5,8675.3,1
98,602,433758,7.14,Education,3.874058864,9.489390828,119082,35025.66,1
99,3732,310077,5.07,Home,2.028747433,7.901437372,53576,8675.3,1
100,3915,272397,7.65,Home,4.93908282,4.095824778,175418,12534.66,1
101,506,496735,5.68,Car,5.971252567,3.54825462,70445,8300.07,1
102,3033,412294,4.56,Home,6.866529774,7.181382615,70979.5,8675.3,1
103,432,384687,3.64,Home,3.173169062,0.919917864,70979.5,8675.3,1
104,3397,363429,8.2,Personal,5.500342231,6.787132101,70979.5,8675.3,1
105,2565,363930,5.2,Home,8.095824778,5.292265572,70979.5,8675.3,1
106,3101,259241,4.66,Personal,5.519507187,5.976728268,97629,7481,1
107,2893,13382,6.81,Education,7.843942505,8.213552361,161813,10946.61,1
108,1941,185701,5.81,Home,3.978097194,2.351813826,69911,9437.89,1
109,1128,136929,9.29,Education,4.917180014,0.490075291,95734,8675.3,2
110,2176,219638,7.82,Home,4.260095825,5.793292266,120079,1229.14,1
111,1997,415668,6.51,Education,7.378507871,9.407255305,118514,11728.72,1
112,2106,479781,12.18,Education,1.711156742,2.669404517,70979.5,8675.3,1
113,4062,119771,12.01,Home,6.507871321,4.889801506,70979.5,8675.3,1
114,4826,496603,5.99,Car,4.227241615,5.015742642,70979.5,8675.3,1
115,1325,165146,7.3,Education,2.458590007,9.097878166,160430,12560.29,1
116,3766,293042,11.73,Education,9.040383299,9.130732375,70979.5,8675.3,1
117,2245,490667,4.79,Personal,6.091718001,6.108145106,83231,8200.46,1
118,4094,270997,5.13,Home,3.088295688,4.07118412,70979.5,8675.3,1
119,1056,216784,10.17,Home,3.65229295,2.436687201,70979.5,8675.3,1
120,2541,334369,3.06,Education,7.693360712,6.50513347,70979.5,8675.3,1
121,4794,391576,3.07,Personal,3.813826146,4.213552361,91304,8094.85,1
122,83,130769,9.05,Education,8.424366872,9.478439425,70979.5,8675.3,1
123,3582,40240,6.03,Education,6.809034908,4.339493498,39295,8675.3,1
124,4248,176334,7.92,Car,2.872005476,7.017111567,66058,16734.85,1
125,789,79441,6.2,Home,7.397672827,0.073921971,70979.5,8675.3,2
126,923,194860,5.88,Home,6.67761807,3.72347707,222869,37321.79,1
127,4643,144724,10.36,Personal,6.264202601,10.01779603,46302,26202.04,2
128,2050,410091,3.18,Car,6.95687885,9.297741273,70979.5,8675.3,2
129,1925,249662,3.75,Home,7.115674196,4.711841205,98071,7572.03,1
130,4785,305801,9.45,Personal,6.29431896,7.266255989,106652,5322.51,1
131,3469,27884,10.15,Car,4.410677618,5.377138946,51886,8675.3,1
132,4711,273606,3.48,Home,2.880219028,3.397672827,70979.5,8675.3,1
133,1925,105592,4.2,Education,7.561943874,4.711841205,98071,7572.03,1
134,3132,227642,5.81,Personal,5.475701574,7.726214921,70979.5,8675.3,1
135,2269,262768,6.08,Personal,4.032854209,1.930184805,70979.5,8675.3,1
136,1627,190014,5.65,Home,6.584531143,9.081451061,98180,5761.29,1
137,527,234378,2.99,Home,3.679671458,8.980150582,1680,8675.3,1
138,4652,201729,6.28,Car,7.816563997,5.500342231,70979.5,8675.3,1
139,4969,21881,2.86,Personal,5.193702943,3.110198494,61541,10427.49,1
140,1786,145384,10.52,Education,5.607118412,3.876796715,111082,7861.97,1
141,2908,37501,9.77,Car,8.629705681,8.057494867,49851,40346.44,1
142,4223,491112,7.65,Home,7.008898015,3.345653662,1689,8675.3,1
143,3828,315285,4.76,Education,4.851471595,4.177960301,48892,14392.9,1
144,1956,494173,12.1,Home,5.760438056,2.056125941,134000,9562.09,1
145,2605,116773,6.13,Car,5.04312115,5.070499658,70979.5,8675.3,1
146,4171,466598,10.89,Personal,3.203285421,7.430527036,121150,38756.84,2
147,2825,347174,5.71,Home,7.195071869,5.300479124,70979.5,8675.3,1
148,1626,28832,11.27,Education,2.984257358,4.221765914,48037,8675.3,1
