LoanAmount,InterestRate,LoanTerm,Tenure,TotalBalance,TotalPayments,SupportIssueFrequency,Car,Education,Home,Personal,DefaultStatus
0.865813612,-1.082899936,1.916003095,1.652306376,0.569748585,-0.156498744,-0.332512049,1,0,0,0,1
-1.385643236,0.07673874,-1.276850143,1.067848455,-0.086858229,-0.156498744,-0.332512049,1,0,0,0,1
1.418380338,1.299249392,-1.227729324,-0.977754267,1.549664558,0.935690356,-0.332512049,0,0,0,1,1
0.236052857,-0.583417012,-0.834762771,-0.371186918,-0.086858229,-0.156498744,-0.332512049,1,0,0,0,1
-1.64115209,-0.132834515,0.759431083,1.51676597,-0.582071309,-0.156498744,-0.332512049,0,0,1,0,1
-1.3731516,-1.564918422,1.280409467,-0.669183556,-1.704472857,-0.156498744,-0.332512049,1,0,0,0,1
0.753796299,-1.152757687,-0.915142293,1.220691892,0.119184717,-0.343114593,-0.332512049,1,0,0,0,1
0.483903764,0.223440018,-1.529896786,-0.787420931,-1.082768519,-1.701864835,-0.332512049,1,0,0,0,1
-1.554594512,1.40403602,-0.072645821,-1.055617904,-0.086858229,-0.156498744,-0.332512049,0,0,1,0,1
0.857644676,-1.575397084,0.54806271,0.280560566,-1.378886066,2.089248858,-0.332512049,1,0,0,0,1
0.956438394,1.666002588,-0.513244683,0.571828246,-0.086858229,-0.156498744,1.902111934,0,0,1,0,1
-0.268681054,1.383078694,-0.513244683,-0.268330015,-1.570079873,0.257911092,-0.332512049,0,0,0,1,1
-1.005259453,0.27932622,0.184866351,0.89481815,-0.493205507,-0.181281468,-0.332512049,0,0,0,1,1
1.564689229,0.593686102,1.48880082,1.1687828,0.008687777,-0.171940545,-0.332512049,1,0,0,0,1
0.083018231,-1.739562801,0.303947124,-0.140479844,1.696781741,1.596232131,-0.332512049,0,1,0,0,1
0.901727929,-0.691696527,0.961868398,-1.542025319,-0.086858229,-0.156498744,1.902111934,0,0,1,0,1
0.268355716,0.62512209,0.192308899,1.220691892,-0.599401668,-0.156498744,-0.332512049,1,0,0,0,1
-0.869412048,-0.642796101,-0.447750257,-0.388489949,-0.125450723,-0.287740112,-0.332512049,0,1,0,0,1
-0.77190271,-0.003597674,-1.875231029,-0.300052237,-0.086858229,-0.156498744,-0.332512049,0,0,0,1,1
1.401469328,-1.309937628,-0.982125228,-0.209691967,-1.65726608,-0.262568879,1.902111934,0,0,1,0,0
-1.259905148,-0.740596953,1.877301843,-0.446166717,0.874009619,2.590682641,-0.332512049,0,0,1,0,1
0.986207019,0.84168112,0.312878183,-1.279596022,-0.904120773,0.073440402,-0.332512049,0,0,0,1,1
1.712441322,-0.47164461,-0.666561179,1.239917481,-0.086858229,-0.156498744,-0.332512049,0,1,0,0,1
0.66415897,-1.06194261,-0.947889506,0.352656526,-0.293664627,-0.156498744,-0.332512049,0,1,0,0,1
-1.679497062,0.534307013,1.719519819,-1.104643158,-0.086858229,-0.156498744,1.902111934,0,1,0,0,0
-1.366702076,-1.704633925,1.091368739,-0.998902416,-0.275723507,-0.294222062,-0.332512049,0,0,1,0,1
0.921967279,-0.297000231,-0.130697698,1.485043748,-0.086858229,-0.156498744,1.902111934,0,0,0,1,1
-1.138772877,0.300283545,0.158073177,0.460319827,-0.086858229,-0.156498744,-0.332512049,0,0,1,0,1
-0.365603444,0.373634184,0.921678637,1.73786025,-0.714861045,3.101529843,1.902111934,0,0,0,1,0
-0.907922747,-0.25508558,-0.194703614,-1.296899053,-0.086858229,-0.156498744,4.136735918,1,0,0,0,1
0.289865637,-1.013042184,0.448332563,-1.512225655,0.261186772,-0.156498744,-0.332512049,0,0,0,1,1
-1.548794084,-0.562459687,0.743057477,0.449745753,1.831454657,0.525226944,1.902111934,0,1,0,0,0
-0.65028707,-1.564918422,0.99610412,-1.218074136,-0.086858229,-0.156498744,1.902111934,0,0,0,1,0
0.892019117,1.40403602,0.877023347,0.421868649,0.715389761,-0.85547865,-0.332512049,0,0,1,0,1
-0.926926054,-1.620804623,-0.281037175,-0.665338438,0.28694055,-1.482649627,-0.332512049,1,0,0,0,1
0.917168116,-0.524037923,0.555505258,-0.634577495,0.054927515,-0.156498744,-0.332512049,1,0,0,0,1
-0.930254395,-0.450687284,-1.570086547,-0.217382202,1.291770503,1.890295554,-0.332512049,0,0,0,1,1
-1.595556582,-0.876819569,-1.245591439,0.348811408,1.361575456,1.632565999,-0.332512049,1,0,0,0,1
-1.113071456,0.642586528,-0.955332054,-1.050811507,-0.086858229,-0.156498744,-0.332512049,0,0,1,0,1
1.675242625,0.674022516,-0.105393034,1.103415796,-1.001130062,1.253229704,-0.332512049,0,1,0,0,1
-1.056862547,-1.502046445,-0.474543431,-1.159436088,-0.086858229,-0.156498744,-0.332512049,0,0,1,0,1
0.792079123,1.522794197,0.134257023,0.304592553,-0.443606582,1.025976655,-0.332512049,0,0,0,1,1
-1.111904465,-1.079407048,0.062808559,-1.580476498,-0.086858229,-0.156498744,-0.332512049,1,0,0,0,1
0.717488381,-1.023520847,-0.068180292,1.18704711,-0.139905412,-0.896675376,-0.332512049,0,0,0,1,1
0.819948799,-0.70217519,-1.340856058,-1.28440242,-0.086858229,-0.156498744,-0.332512049,0,0,1,0,1
-0.089682608,1.589159061,-1.468867889,1.589823211,0.806444125,1.972965979,-0.332512049,0,1,0,0,0
-1.029448619,0.209468468,-1.343833077,-0.783575813,0.466377196,-0.808454304,-0.332512049,0,0,0,1,1
-0.675470595,-0.71614674,1.451588078,-0.509611163,1.095105291,0.577701556,-0.332512049,1,0,0,0,1
0.419829751,-0.503080598,0.656723916,0.663149797,0.213852754,-0.676733342,-0.332512049,0,1,0,0,1
-0.61227355,0.048795639,0.481079775,-1.326698716,-0.086858229,-0.156498744,-0.332512049,1,0,0,0,1
-1.498123202,-0.789497379,0.222079093,-1.612198721,-0.246279712,-0.156498744,-0.332512049,0,0,1,0,1
1.501305742,-0.206185154,-1.818667661,-1.679488284,-1.496025037,-0.215553828,-0.332512049,0,0,0,1,1
-1.051690498,1.400543132,1.210449512,0.974604346,0.571606318,0.151800061,-0.332512049,1,0,0,0,1
-1.507169108,1.236377416,-1.674282224,-0.49615325,-0.455847261,-0.048179351,1.902111934,0,1,0,0,0
-1.243408455,-1.372809605,-1.809736603,0.630466294,-0.086858229,-0.156498744,-0.332512049,0,0,1,0,1
0.372763421,0.30726932,-0.282525685,-0.077035399,-0.136520776,1.700770541,4.136735918,0,0,0,1,0
0.123814575,1.438964896,0.348602415,1.558100988,-0.235260556,-0.156498744,-0.332512049,1,0,0,0,1
0.658144479,0.757851818,0.317343711,-0.847020258,0.605045511,0.134148039,-0.332512049,0,0,0,1,1
-1.049605106,-1.362330942,-0.063714763,-0.136634727,0.554504995,-1.432942903,-0.332512049,1,0,0,0,1
1.053968448,-1.117828812,1.44414553,-0.143363683,-0.086858229,-0.156498744,-0.332512049,1,0,0,0,1
0.846782684,-0.726625403,-2.129766182,-0.316393988,-0.086858229,-0.156498744,-0.332512049,0,0,1,0,1
1.084068526,-0.646288989,-0.852624887,-1.456471446,-0.143620878,-0.618988776,-0.332512049,1,0,0,0,1
0.532938097,0.799766469,0.540620162,0.188277736,0.006499215,0.960160787,1.902111934,0,0,1,0,1
-1.090905535,1.142069451,-0.30485333,0.101762583,-0.086858229,-0.156498744,-0.332512049,0,1,0,0,1
0.066562969,-0.373843757,-0.79457301,-0.007823277,-0.086858229,-0.156498744,1.902111934,0,1,0,0,1
-0.016334815,1.445950671,-0.662095649,-1.444936092,-0.816400149,-0.845719477,1.902111934,0,0,0,1,1
-0.010057923,0.583207439,0.098532791,-0.804723962,0.402272685,-0.423989331,-0.332512049,0,0,1,0,1
0.586633488,-0.059483875,-0.43584218,-0.634577495,-0.086858229,-0.156498744,-0.332512049,0,0,1,0,1
